Date,Price,Open,High,Low,Vol.,Change %
9-Oct-20,318.58,317.47,319.1,316.85,2.79M,0.89%
8-Oct-20,315.77,314.96,315.85,314.05,1.73M,0.88%
7-Oct-20,313,310.61,313.81,310.6,1.71M,1.72%
6-Oct-20,307.72,312.25,314.32,307.18,3.39M,-1.40%
5-Oct-20,312.08,308.69,312.29,308.69,2.36M,1.75%
4-Oct-20,306.72,306.72,306.72,306.72,-,0.00%
3-Oct-20,306.72,306.72,306.72,306.72,-,0.00%
2-Oct-20,306.72,304.72,308.58,304.21,3.13M,-0.93%
1-Oct-20,309.6,310.16,311.11,307.76,3.01M,0.63%
30-Sep-20,307.65,306.04,310.75,305.85,4.30M,0.77%
29-Sep-20,305.3,306.84,307.51,304.65,2.31M,-0.99%
28-Sep-20,308.36,307.42,309.02,306.43,2.44M,1.68%
27-Sep-20,303.28,303.28,303.28,303.28,-,0.00%
26-Sep-20,303.28,303.28,303.28,303.28,-,0.00%
25-Sep-20,303.28,297.57,304.04,296.72,2.68M,1.60%
24-Sep-20,298.5,296.31,301.46,295.04,3.13M,0.28%
23-Sep-20,297.68,305.28,305.55,297.17,2.76M,-2.32%
22-Sep-20,304.74,303.11,305.24,300.67,2.74M,1.01%
21-Sep-20,301.69,300.47,301.75,296.83,4.54M,-1.09%
18-Sep-20,305,309.44,309.48,302.55,3.42M,-1.16%
17-Sep-20,308.59,306.48,310.27,305.96,2.85M,-0.87%
16-Sep-20,311.31,313.81,315.18,311.04,2.32M,-0.40%
15-Sep-20,312.57,313.47,314.26,311.52,2.57M,0.51%
14-Sep-20,310.97,310.08,312.75,309.61,3.06M,1.30%
13-Sep-20,306.98,306.98,306.98,306.98,-,0.00%
11-Sep-20,306.98,308.55,309.59,304.17,3.69M,0.07%
10-Sep-20,306.75,314.05,314.71,305.82,3.59M,-1.75%
9-Sep-20,312.21,310.14,314.66,309.29,3.34M,1.97%
8-Sep-20,306.17,309.35,310.59,305.85,4.28M,-2.75%
4-Sep-20,314.82,317.77,319.6,306.9,5.13M,-0.80%
3-Sep-20,317.36,327.01,327.51,314.81,6.89M,-3.46%
2-Sep-20,328.74,325.94,329.67,324.78,5.27M,1.46%
1-Sep-20,324.02,321.81,324.1,320.94,3.01M,0.93%
31-Aug-20,321.02,321.98,322.83,320.8,5.07M,-0.35%
30-Aug-20,322.15,322.15,322.15,322.15,-,0.00%
28-Aug-20,322.15,321.14,322.28,319.95,3.54M,0.65%
27-Aug-20,320.07,320.22,321.5,318.47,2.30M,0.20%
26-Aug-20,319.43,316.75,319.63,316.25,2.61M,1.02%
25-Aug-20,316.2,315.69,316.26,314.5,2.89M,0.35%
24-Aug-20,315.1,314.36,315.17,313.37,2.35M,1.02%
23-Aug-20,311.93,311.93,311.93,311.93,-,0.00%
22-Aug-20,311.93,311.93,311.93,311.93,-,0.00%
21-Aug-20,311.93,310.48,312.1,310.17,2.32M,0.36%
20-Aug-20,310.82,308.11,311.27,308.02,2.41M,0.32%
19-Aug-20,309.84,311.55,312.28,309.31,2.50M,-0.42%
18-Aug-20,311.16,310.93,311.55,309.28,2.42M,0.21%
17-Aug-20,310.51,310.44,310.87,310.09,2.18M,0.32%
14-Aug-20,309.51,309.15,310.02,308.34,2.10M,0.00%
13-Aug-20,309.51,309.3,310.78,308.56,4.07M,-0.17%
12-Aug-20,310.04,308.25,310.81,308.2,2.95M,1.37%
11-Aug-20,305.85,309.52,310.12,305.07,3.57M,-0.81%
10-Aug-20,308.34,307.88,308.5,305.92,2.12M,0.32%
9-Aug-20,307.36,307.36,307.36,307.36,-,0.00%
8-Aug-20,307.36,307.36,307.36,307.36,-,0.00%
7-Aug-20,307.36,306.23,307.6,305.32,3.32M,0.05%
6-Aug-20,307.2,304.58,307.29,304.25,4.09M,0.67%
5-Aug-20,305.15,304.61,305.4,304.31,2.62M,0.62%
4-Aug-20,303.26,301.22,303.26,301.22,2.13M,0.42%
3-Aug-20,301.99,301.65,302.82,301.13,3.77M,0.63%
2-Aug-20,300.1,300.1,300.1,300.1,-,0.00%
31-Jul-20,300.1,299.45,300.1,295.24,4.46M,0.84%
30-Jul-20,297.61,295.74,298.06,293.67,2.95M,-0.36%
29-Jul-20,298.7,296,299.26,295.9,2.37M,1.21%
28-Jul-20,295.13,296.18,297.33,294.79,3.14M,-0.62%
27-Jul-20,296.97,295.48,297.12,294.74,2.25M,0.73%
26-Jul-20,294.82,294.82,294.82,294.82,-,0.00%
25-Jul-20,294.82,294.82,294.82,294.82,-,0.00%
24-Jul-20,294.82,294.86,295.81,293.3,2.85M,-0.65%
23-Jul-20,296.74,299.93,300.62,295.38,3.49M,-1.20%
